prod_cProd,prod_cEAN,prod_xProd,prod_NCM,prod_CEST,prod_indEscala,prod_CFOP,prod_uCom,prod_qCom,prod_vUnCom,prod_vProd,prod_cEANTrib,prod_uTrib,prod_qTrib,prod_vUnTrib,prod_indTot,prod_vDesc,prod_vFrete,prod_vOutro,prod_NumItem,ICMS_orig,ICMS_CST,ICMS_modBC,ICMS_vBC,ICMS_pICMS,ICMS_vICMS,ICMS_vICMSDeson,ICMS_vFCP,ICMS_pRedBC,ICMS_vBCSTRet,ICMS_pST,ICMS_vICMSSubstituto,PIS_CST,PIS_vBC,PIS_pPIS,PIS_vPIS,COFINS_CST,COFINS_vBC,COFINS_pCOFINS,COFINS_vCOFINS,prod_cBenef,CNPJ,xNome,emit_UF,IE,emit_cMun,xFant,enderEmit,emit_xMun,CRT,uf_dest,chNFe,cUF,cNF,natOp,mod,serie,nNF,dhEmi,tpNF,idDest,cMunFG,cDV,tpAmb,finNFe,indFinal,indPres,procEmi,verProc,vBC,vICMS,vICMSDeson,vFCP,vBCST,vST,vFCPST,vFCPSTRet,vProd,vFrete,vSeg,vDesc,vII,vIPI,vIPIDevol,vPIS,vCOFINS,vOutro,vNF
12815,7000000000669,DIANTEIRO DE VACA CASADO,02012010,1708400,,1102,KG,201.4,KG,2819.6,,,,,,0.0,0,0,001,,000,,2819.6,"12,00",338.35,0,0,,0,0.0,0.0,73,0.0,0.0,0.0,73,0.0,0.0,0.0,,32832605000135,VALE ATACADAO LTDA,GO,107528835,5210901,VAREJAO PAI & FILHO,RUA ABILIO NEVES QUADRA 4 LOTE 1 SALA 2,,,,52240704893523000165550010001267491810823588,0,1,00,55,1,126749,01/07/2024,0,,,,,,,,,,,"683,09",,,,,,,"5692,40","0,00","0,00","0,00",,,,,,"0,00","5692,40"
12816,,TRASEIRO DE VACA CASADO,02012020,1708400,,1102,KG,205.2,KG,2872.8,,,,,,0.0,0,0,002,,000,,2872.8,"12,00",344.74,0,0,,0,0.0,0.0,73,0.0,0.0,0.0,73,0.0,0.0,0.0,,32832605000135,VALE ATACADAO LTDA,GO,107528835,5210901,VAREJAO PAI & FILHO,RUA ABILIO NEVES QUADRA 4 LOTE 1 SALA 2,,,,52240704893523000165550010001267491810823588,0,1,00,55,1,126749,01/07/2024,0,,,,,,,,,,,"683,09",,,,,,,"5692,40","0,00","0,00","0,00",,,,,,"0,00","5692,40"
18076,7898489521122,SABONETE DAVENE LA FLORE ERVA DOCE 1X150GR,34011190,2003400,,1102,UN,36.0,UN,106.92,,,,,,6.06,0,0,001,,220,,62.42,"12,00",7.49,0,0,,0,0.0,0.0,50,0.0,1.65,1.76,50,106.92,7.6,8.13,,32832605000135,VALE ATACADAO LTDA,GO,107528835,5210901,VAREJAO PAI & FILHO,RUA ABILIO NEVES QUADRA 4 LOTE 1 SALA 2,,,,52240703785066000122550010056135141114911021,0,1,00,55,1,5613514,01/07/2024,0,,,,,,,,,,,"74,90",,,,,,,"1069,20","0,00","0,00","60,60",,,,"17,60","81,30","0,00","1008,60"
18077,7898489521139,SABONETE DAVENE LA FLORE LAVANDA 1X150GR,34011190,2003400,,1102,UN,36.0,UN,106.92,,,,,,6.06,0,0,002,,020,,62.42,"12,00",7.49,0,0,,0,0.0,0.0,50,0.0,1.65,1.76,50,106.92,7.6,8.13,,32832605000135,VALE ATACADAO LTDA,GO,107528835,5210901,VAREJAO PAI & FILHO,RUA ABILIO NEVES QUADRA 4 LOTE 1 SALA 2,,,,52240703785066000122550010056135141114911021,0,1,00,55,1,5613514,01/07/2024,0,,,,,,,,,,,"74,90",,,,,,,"1069,20","0,00","0,00","60,60",,,,"17,60","81,30","0,00","1008,60"
18078,7898489521146,SABONETE DAVENE LA FLORE VANILA 1X150GR,34011190,2003400,,1102,UN,36.0,UN,106.92,,,,,,6.06,0,0,003,,220,,62.42,"12,00",7.49,0,0,,0,0.0,0.0,50,0.0,1.65,1.76,50,106.92,7.6,8.13,,32832605000135,VALE ATACADAO LTDA,GO,107528835,5210901,VAREJAO PAI & FILHO,RUA ABILIO NEVES QUADRA 4 LOTE 1 SALA 2,,,,52240703785066000122550010056135141114911021,0,1,00,55,1,5613514,01/07/2024,0,,,,,,,,,,,"74,90",,,,,,,"1069,20","0,00","0,00","60,60",,,,"17,60","81,30","0,00","1008,60"
18079,7898489521153,SABONETE DAVENE LA FLORE CEREJA 1X150GR,34011190,2003400,,1102,UN,36.0,UN,106.92,,,,,,6.06,0,0,004,,220,,62.42,"12,00",7.49,0,0,,0,0.0,0.0,50,0.0,1.65,1.76,50,106.92,7.6,8.13,,32832605000135,VALE ATACADAO LTDA,GO,107528835,5210901,VAREJAO PAI & FILHO,RUA ABILIO NEVES QUADRA 4 LOTE 1 SALA 2,,,,52240703785066000122550010056135141114911021,0,1,00,55,1,5613514,01/07/2024,0,,,,,,,,,,,"74,90",,,,,,,"1069,20","0,00","0,00","60,60",,,,"17,60","81,30","0,00","1008,60"
18336,7898489521160,SABONETE DAVENE LA FLORE MARACUJA 1X150GR,34011190,2003400,,1102,UN,36.0,UN,106.92,,,,,,6.06,0,0,005,,220,,62.42,"12,00",7.49,0,0,,0,0.0,0.0,50,0.0,1.65,1.76,50,106.92,7.6,8.13,,32832605000135,VALE ATACADAO LTDA,GO,107528835,5210901,VAREJAO PAI & FILHO,RUA ABILIO NEVES QUADRA 4 LOTE 1 SALA 2,,,,52240703785066000122550010056135141114911021,0,1,00,55,1,5613514,01/07/2024,0,,,,,,,,,,,"74,90",,,,,,,"1069,20","0,00","0,00","60,60",,,,"17,60","81,30","0,00","1008,60"
18337,7898489521177,SABONETE DAVENE LA FRUTA MORANGO 1X150GR,34011190,2003400,,1102,UN,36.0,UN,106.92,,,,,,6.06,0,0,006,,020,,62.42,"12,00",7.49,0,0,,0,0.0,0.0,50,0.0,1.65,1.76,50,106.92,7.6,8.13,,32832605000135,VALE ATACADAO LTDA,GO,107528835,5210901,VAREJAO PAI & FILHO,RUA ABILIO NEVES QUADRA 4 LOTE 1 SALA 2,,,,52240703785066000122550010056135141114911021,0,1,00,55,1,5613514,01/07/2024,0,,,,,,,,,,,"74,90",,,,,,,"1069,20","0,00","0,00","60,60",,,,"17,60","81,30","0,00","1008,60"
18798,7898489521184,SABONETE DAVENE LA FRUTA MANDARINA 1X150GR,34011190,2003400,,1102,UN,36.0,UN,106.92,,,,,,6.06,0,0,007,,220,,62.42,"12,00",7.49,0,0,,0,0.0,0.0,50,0.0,1.65,1.76,50,106.92,7.6,8.13,,32832605000135,VALE ATACADAO LTDA,GO,107528835,5210901,VAREJAO PAI & FILHO,RUA ABILIO NEVES QUADRA 4 LOTE 1 SALA 2,,,,52240703785066000122550010056135141114911021,0,1,00,55,1,5613514,01/07/2024,0,,,,,,,,,,,"74,90",,,,,,,"1069,20","0,00","0,00","60,60",,,,"17,60","81,30","0,00","1008,60"
18799,7898489521191,SABONETE DAVENE LA FRUTA MACA 1X150GR,34011190,2003400,,1102,UN,36.0,UN,106.92,,,,,,6.06,0,0,008,,220,,62.42,"12,00",7.49,0,0,,0,0.0,0.0,50,0.0,1.65,1.76,50,106.92,7.6,8.13,,32832605000135,VALE ATACADAO LTDA,GO,107528835,5210901,VAREJAO PAI & FILHO,RUA ABILIO NEVES QUADRA 4 LOTE 1 SALA 2,,,,52240703785066000122550010056135141114911021,0,1,00,55,1,5613514,01/07/2024,0,,,,,,,,,,,"74,90",,,,,,,"1069,20","0,00","0,00","60,60",,,,"17,60","81,30","0,00","1008,60"
